key,name,short_name,type,website,description,strength_1,strength_2,strength_3,strength_4,strength_5,strength_6,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,cost_1_label,cost_1_value,cost_2_label,cost_2_value,cost_3_label,cost_3_value,cost_4_label,cost_4_value,cost_5_label,cost_5_value,cost_6_label,cost_6_value,cost_7_label,cost_7_value,cost_8_label,cost_8_value,cost_9_label,cost_9_value,cost_10_label,cost_10_value,cost_11_label,cost_11_value,cost_12_label,cost_12_value
neu,National Education Union,NEU,Trade union,neu.org.uk,"The largest education union in the UK and a TUC affiliate. Known for collective action, national campaigning and a strong in-school rep network. Covers teachers, leaders and support staff across England and Wales.",Largest education union — strongest collective voice,"Active on pay, workload and education policy",In-school reps in most secondary and many primary schools,Covers teachers and support staff in the same union,,,Politically active — campaigns beyond narrow employment issues,Local branch subs added on top of the national rate,With size comes less personalised casework in some areas,,,Teacher (full-time),£239–£274/yr (incl. 5–20% local sub),Teacher (part-time),Pro-rata + local sub,Support staff (FT),£124–£142/yr (incl. local sub),Leadership,£274–£313/yr (incl. local sub),ECT (year 1 post-qual),£1,Student / trainee,Free (except AOR),,,,,,,,,,,,
nasuwt,NASUWT — The Teachers' Union,NASUWT,Trade union,nasuwt.org.uk,"A teachers' union and TUC affiliate covering all four UK nations. Focuses on workplace rights, pay and conditions. Known for strong individual casework and willingness to take industrial action. Teachers and leaders only.",One transparent fee — no local levies,Strong track record on individual casework,"Active across England, Wales, Scotland and Northern Ireland",Member of the TUC,,,Teachers and leaders only — not open to support staff,Smaller than NEU in many English schools,Has a political fund (opt-in / opt-out),,,Teacher (full-time),£242/yr (no local subs),Teacher (part-time),Pro-rata,Leadership,£242/yr,Qualifying year,Free,Year 1 post-qualification,£1,Year 2 post-qualification,~£81/yr (⅓ rate),Year 3 post-qualification,~£162/yr (⅔ rate),Student / trainee,Free during training,,,,,,,,
edapt,Edapt,Edapt,Independent organisation (not a union),edapt.org.uk,"An independent, apolitical alternative to a teaching union for people working in schools and colleges in England and Wales. Focuses on individual employment support rather than campaigning or industrial action.",Professional caseworkers — not volunteer reps,Apolitical — no campaigning or political affiliation,24/7 mental health support line,Members can still join strikes as non-union participants,Often lower monthly cost than traditional unions,,Cannot organise or ballot for industrial action,No in-school rep presence,No collective bargaining,,,Teaching staff (full-time),£194/yr (£17.95/mo) — annual saves ~10%,Teaching staff (0.8 FTE),£155/yr (£14.36/mo),Teaching staff (0.6 FTE),£116/yr (£10.77/mo),Support staff (full-time),£119/yr (£11.00/mo) — annual saves ~10%,Support staff (0.8 FTE),£95/yr (£8.80/mo),Support staff (0.6 FTE),£71/yr (£6.60/mo),CEO / Exec Head,£416/yr (£38.50/mo),Headteacher,£346/yr (£32.00/mo),Deputy / Assistant Head,£230/yr (£21.25/mo),Business Manager,£216/yr (£20.00/mo),Student / trainee,Free during training,,
ascl,Association of School and College Leaders,ASCL,Leadership union,ascl.org.uk,"A leadership-focused union for senior leaders in schools and colleges. Offers specialist CPD, legal support and policy influence tailored to senior roles. Covers England, Wales and Northern Ireland.",Specialist leadership expertise and CPD,Strong policy influence at government level,Tailored legal advice for leadership roles,Professional Associate grade for aspiring leaders,,,Leaders only — not open to classroom teachers or support staff,Higher fees reflecting seniority,Not a TUC affiliate,,,Executive Head/CEO,£501.60/yr,Headteacher/Principal,£483.00/yr,Deputy/Vice Principal,£390.12/yr,Assistant Head/Senior Postholder,£291.00/yr,Business Manager / Senior Support,£266.28/yr,Professional Associate,~£229/yr (aspiring leaders),,,,,,,,,,,,
naht,National Association of Head Teachers,NAHT,Leadership union,naht.org.uk,"A union and TUC affiliate for school leaders at all levels, including middle and aspiring leaders. Active on school funding, accountability and headteacher-specific issues.",Covers middle leaders upwards — broad leadership eligibility,Strong on headteacher-specific issues,Good CPD offer,Specialist legal support for leadership,,,Leadership only,Higher fees for senior roles,Separate NAHT NI branch for Northern Ireland,,,Executive leader,£42.67/mo (~£512/yr),Head teacher / Principal,£40.47/mo (~£486/yr),Deputy Head / Vice Principal,£32.93/mo (~£395/yr),Assistant Head,£23.16/mo (~£278/yr),Middle leader,£17.07/mo (~£205/yr),School business leader,£23.16/mo (~£278/yr),Children's Centre Leader,£23.16/mo (~£278/yr),Part-time (0.6 FTE),40% reduction across all grades,,,,,,,,
community,Community Union,Community,General trade union,community-tu.org,"A general trade union and TUC affiliate covering workers across many sectors, including school support staff. Affiliated to the Labour Party. An affordable way to get full trade union protections.",Affordable membership fees,Full trade union protections,Member of the TUC,Covers support staff across the UK,,,Not education-specific — less specialist knowledge,Support staff only,Affiliated to the Labour Party,,,Low band (£18k–£32k),£166/yr (£13.86/mo),High band (over £32k),£229/yr (£19.11/mo),,,,,,,,,,,,,,,,,,,,
gmb,GMB Union,GMB,General trade union,gmb.org.uk,"One of the UK's largest general unions and a TUC affiliate. Covers school support staff — TAs, caretakers, admin, technicians. Strong on public sector pay and workplace rights.",Large union with collective bargaining power,Strong public sector presence,Good legal and employment support,Covers support staff across all four nations,,,Not education-specific,Support staff only,Reps may not be education specialists,,,Full-time (>20 hrs/week),£15.18/mo (~£182/yr),Part-time (≤20 hrs/week),£8.57/mo (~£103/yr),Apprentice,£3.00/mo,Student (non-working),£1.00/mo,,,,,,,,,,,,,,,,
unison,UNISON,UNISON,Public sector union,unison.org.uk,"The UK's largest public sector union and a TUC affiliate. Strong presence in schools for support staff — TAs, admin, caretakers — with a dedicated education sector team.",Largest public sector union — significant bargaining power,Dedicated education sector team,Strong local authority / school presence,Fees scale with earnings — low-paid staff pay little,,,Support staff only,Not teaching-specific,Earnings-based fees can be higher for better-paid roles,,,Support staff — typical TA (£20k–£25k),£168/yr (£14.00/mo),Support staff — entry (£14k–£17k),£116/yr (£9.70/mo),Support staff — mid (£17k–£20k),£138/yr (£11.50/mo),Support staff — higher (£25k–£30k),£207/yr (£17.25/mo),Support staff — top rate (over £35k),£270/yr (£22.50/mo),Students / apprentices,£10/yr (flat),,,,,,,,,,,,
unite,Unite the Union,Unite,General trade union,unitetheunion.org,"One of the UK's largest general unions, with members across many sectors including some school support staff. Covers TAs, admin, facilities and similar roles. Politically active and a Labour Party affiliate.",Large general union with significant bargaining power,Active on pay and conditions across the public sector,Member of the TUC; affiliated to the Labour Party,Covers support staff across all four nations,,,Not education-specific — limited specialist schools knowledge,Few in-school reps compared to NEU and NASUWT — most school members are reached through general regional structures rather than dedicated school presence,Support staff only,Politically active and affiliated to the Labour Party,,School support (standard),£148–£176/yr (£12.35–£14.69/mo),Full-time (>21 hrs/week),£223–£266/yr (£18.59–£22.18/mo),Part-time (≤21 hrs/week),£136–£159/yr (£11.35–£13.22/mo),Apprentice,£65–£74/yr (£5.41–£6.15/mo),,,,,,,,,,,,,,,,
eis,Educational Institute of Scotland,EIS,Trade union,eis.org.uk,"Scotland's largest teaching union and a founding STUC affiliate. Covers teachers and lecturers across Scottish schools, colleges and universities. Very active on pay and conditions in Scotland.",Largest union in Scottish education,Strong collective bargaining in Scotland's SNCT,"Active on pay, workload and policy",Dense in-school rep network,,,Scotland only,Teachers / lecturers / leaders — not support staff,Politically active,,,"Teacher (full-time, DD)",£169–£187/yr (national £156 + local sub by council),"Teacher (full-time, other)",£202–£220/yr (no DD discount),"Teacher / supply (part-time, ≤50%)",£86–£95/yr,Leadership,£169–£187/yr,Student / probationer,Reduced,,,,,,,,,,,,,,
ahds,Association of Headteachers and Deputes in Scotland,AHDS,Leadership union,ahds.org.uk,"The professional association and recognised trade union for primary, special and nursery school leaders in Scotland. Specialist casework, CPD and representation for Scottish school leaders.",Specialist support for Scottish primary and special-school leaders,Dedicated casework for leadership situations,Seat at Scottish negotiating tables,,,,Scotland only,"Primary, special and nursery leaders only — not secondary (Scottish secondary leaders should look at School Leaders Scotland)",Smaller membership than general unions,,,Head / Depute,£26.00/mo (£312/yr),Principal Teacher,£18.00/mo (£216/yr),Head / Depute (≤0.6 FTE),£15.60/mo (~£187/yr),Principal Teacher (≤0.6 FTE),£10.80/mo (~£130/yr),,,,,,,,,,,,,,,,
sls,School Leaders Scotland,SLS,Leadership association,sls-scotland.org.uk,"The professional association and recognised trade union for secondary school leaders in Scotland — present in over 90% of Scottish secondary schools and representing around 75% of headteachers. Fully affiliated to ASCL, which gives members full trade union rights and access to ASCL's wider legal infrastructure. Sits alongside AHDS (which serves primary, special and nursery leaders).",Specialist support for Scottish secondary school leaders,Dedicated field officer support and leadership-specific casework,"Policy access in Scottish secondary education — parliamentary bulletins, position statements",ASCL affiliation provides expert legal advice and broader trade union backing,Notably apolitical professional association,,Scotland only,Secondary leaders only — Scottish primary leaders should look at AHDS,Less industrial-action presence than larger teacher unions,,,Headteacher,£446.40/yr (£37.20/mo),Depute,£343.80/yr (£28.65/mo),Faculty Head / PT / Bursar / BM,£253.20/yr (£21.10/mo),,,,,,,,,,,,,,,,,,
ssta,Scottish Secondary Teachers' Association,SSTA,Trade union,ssta.org.uk,"Scotland's only specialist union for secondary teachers, founded in 1944. Twin aims are to advance Scottish education and safeguard secondary teachers' interests, especially on pay and conditions. Active in SNCT pay negotiations alongside EIS and NASUWT — and active in industrial action when negotiation fails (recent ballots over pay 2022 and over class contact time 2025–26).",Secondary-specific focus in Scotland,Casework escalates to professional staff — similar model to NEU/NASUWT,Free legal advice on professional matters; extended legal service via Thompsons,16 months free for new entrants — generous trainee/NQT offer,Willing to ballot for industrial action when negotiation fails,,Scotland only,Secondary teachers (and trainees) only — not for leaders or primary teachers,Smaller than EIS — less broad sector representation,"Has a political fund framework, though no public evidence of party donations",,"Full-time (annual, by 31 Jan)",£212.08/yr,Full-time (after 31 Jan),£231.36/yr,Full-time (monthly DD),£19.28/mo,Part-time / job-share / supply,£106.04/yr (£9.64/mo),New entrant / NQT,Free for 16 months from August of qualifying year,,,,,,,,,,,,,,
into,Irish National Teachers' Organisation,INTO,Trade union,into.ie,"The largest teachers' union on the island of Ireland. In Northern Ireland it represents teachers and principals across both primary and post-primary (secondary) schools, with strong casework and professional development.","Cross-border presence — strong in NI primary, post-primary and special schools",Salary-based subscription deducted directly from payroll,Dedicated professional learning offer,Free for trainees and newly qualified teachers in the first year,,,Northern Ireland only (separate INTO branches operate in Republic of Ireland),Teachers and leaders only — not for non-teaching support staff,Salary-based fee means cost rises with pay scale,,,Permanent teacher,£198–£296/yr (0.6% of gross salary),Voluntary Grammar (FT),£240/yr (£20/mo flat rate),Voluntary Grammar (PT/supply),£120/yr (£10/mo flat rate),Supply / part-time,Pro-rata on days worked (0.6% of pay),Newly qualified (first year),Free until end of August,Student / trainee,Free,New member offer,First 6 months free (non-NQT),,,,,,,,,,
utu,Ulster Teachers' Union,UTU,Trade union,utu.edu,A Northern Ireland teaching union with a focus on individual member support and a notably apolitical stance. Covers teachers and school leaders across NI.,Strong individual casework tradition,Notably apolitical,Personal service — small membership,,,,Northern Ireland only,Smaller than INTO or NASUWT NI,Teachers and leaders only,,,Teacher (M2 — entry),£190/yr (£15.83/mo),Teacher (M5),£235/yr (£19.57/mo),Teacher (M6 — top of MPS),£253/yr (£21.07/mo),Teacher / leader (UPS1+),£273–£294/yr (£22.78–£24.46/mo),Part-time / job share,Pro-rata (0.6% of gross salary),Students / first-year NQT,Free,,,,,,,,,,,,
ucac,Undeb Cenedlaethol Athrawon Cymru,UCAC,Trade union,ucac.cymru,"The Welsh-medium and Wales-focused teaching union. Bilingual service, strong on Welsh education policy, and casework delivered through the medium of Welsh or English.",Bilingual support (Welsh / English),Specialist voice in Welsh education policy,"Personal, locally-rooted service",,,,Wales only,Smaller than NEU Cymru or NASUWT Cymru,Teachers and leaders only,,,Teacher / leader (full-time),£19.38/mo (£233/yr),Teacher (0.7–0.99 FTE),£16.24/mo (£195/yr),Teacher (0.4–0.69 FTE),£13.42/mo (£161/yr),Teacher (≤0.39 FTE),£10.82/mo (£130/yr),Trainee / Newly Qualified,Free,,,,,,,,,,,,,,